"Жаныбек","Жаныбек"
"Сабырбек","Сабырбек"
"Хан","Хан"
"Bитaлий","Bитaлий"
"Bлaдиcлaв","Bлaдиcлaв"
"Cергей","Cергей"
"Cуйоркул","Cуйоркул"
"Paшид","Paшид"
"Абакир","Абакир"
"Аббас","Аббас"
"Абдивали","Абдивали"
"Абдилнасыр","Абдилнасыр"
"Абдиманап","Абдиманап"
"Абдукапар","Абдукапар"
"Абдулахат","Абдулахат"
"Абдумалик","Абдумалик"
"Абдурасул","Абдурасул"
"Абдыганы","Абдыганы"
"Абдыкасым","Абдыкасым"
"Адиб","Адиб"
"Адиль","Адиль"
"Адылбек","Адылбек"
"Азамат","Азамат"
"Азизбек","Азизбек"
"Айбек","Айбек"
"Айгул","Айгул"
"Айгуль","Айгуль"
"Айгуля","Айгуля"
"Айжан","Айжан"
"Айзада","Айзада"
"Айнагул","Айнагул"
"Айнаш","Айнаш"
"Айниса","Айниса"
"Айнура","Айнура"
"Айсалкын","Айсалкын"
"Айткуль","Айткуль"
"Айша","Айша"
"Айымкан","Айымкан"
"Айымкуль","Айымкуль"
"Акбола","Акбола"
"Акжигитов","Акжигитов"
"Акрам","Акрам"
"Акылбек","Акылбек"
"Алаа","Алаа"
"Алевтина","Алевтина"
"Александр","Александр"
"Алексей","Алексей"
"Али","Али"
"Алиджан","Алиджан"
"Алижан","Алижан"
"Алима","Алима"
"Алмазбек","Алмазбек"
"Алмакуль","Алмакуль"
"Алтынбек","Алтынбек"
"Алыйбубу","Алыйбубу"
"Алымбек","Алымбек"
"Алыспек","Алыспек"
"Аман","Аман"
"Аманат","Аманат"
"Аманбек","Аманбек"
"Анара","Анара"
"Анарбек","Анарбек"
"Анаркан","Анаркан"
"Анаркуль","Анаркуль"
"Анатолий","Анатолий"
"Андрей","Андрей"
"Анжум","Анжум"
"Антуан","Антуан"
"Аппан","Аппан"
"Аралбек","Аралбек"
"Арзыбек","Арзыбек"
"Арзыкан","Арзыкан"
"Аркадий","Аркадий"
"Арслан","Арслан"
"Артур","Артур"
"Асан","Асан"
"Асанбек","Асанбек"
"Асель","Асель"
"Асип","Асип"
"Аскарбек","Аскарбек"
"Асылбек","Асылбек"
"Асылкан","Асылкан"
"Асылкуь","Асылкуь"
"Ахмаджан","Ахмаджан"
"Ахмед","Ахмед"
"Аширбай","Аширбай"
"Ашраф","Ашраф"
"БА","БА"
"Бабыржан","Бабыржан"
"Базарбай","Базарбай"
"Бакай","Бакай"
"Бакиржан","Бакиржан"
"Бактыбек","Бактыбек"
"Бактыгул","Бактыгул"
"Бакыт","Бакыт"
"Батма","Батма"
"Баяс","Баяс"
"Бегайым","Бегайым"
"Бекберген","Бекберген"
"Бекболот","Бекболот"
"Беккула","Беккула"
"Бекнур","Бекнур"
"Бексия","Бексия"
"Бексултан","Бексултан"
"Бектемир","Бектемир"
"Бердибек","Бердибек"
"Бинхуа","Бинхуа"
"Болот","Болот"
"Болотбек","Болотбек"
"Борис","Борис"
"Брандта","Брандта"
"Валентин","Валентин"
"Валерий","Валерий"
"Варис","Варис"
"Василий","Василий"
"Венера","Венера"
"Виктор","Виктор"
"Виталий","Виталий"
"Владимер","Владимер"
"Владимир","Владимир"
"Галина","Галина"
"Гамсари","Гамсари"
"Ганыжан","Ганыжан"
"Геннадий","Геннадий"
"Гулайым","Гулайым"
